,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expense,Operating Expenses,Operating Income,Interest Expense,Earnings before Tax,Income Tax Expense,Net Income - Non-Controlling int,Net Income - Discontinued ops,Net Income,Preferred Dividends,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities,Depreciation & Amortization,Stock-based compensation,Operating Cash Flow,Capital Expenditure,Acquisitions and disposals,Investment purchases and sales,Investing Cash flow,Issuance (repayment) of debt,Issuance (buybacks) of shares,Dividend payments,Financing Cash Flow,Effect of forex changes on cash,Net cash flow / Change in cash,Free Cash Flow,Net Cash/Marketcap,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue,ebitperRevenue,ebtperEBIT,niperEBT,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,nIperEBT,eBTperEBIT,eBITperRevenue,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,debtRatio,debtEquityRatio,longtermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatios,dividendpaidAndCapexCoverageRatios,dividendPayoutRatio,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,EPS Diluted Growth,Weighted Average Shares Growth,Weighted Average Shares Diluted Growth,Dividends per Share Growth,Operating Cash Flow growth,Free Cash Flow growth,10Y Revenue Growth (per Share),5Y Revenue Growth (per Share),3Y Revenue Growth (per Share),10Y Operating CF Growth (per Share),5Y Operating CF Growth (per Share),3Y Operating CF Growth (per Share),10Y Net Income Growth (per Share),5Y Net Income Growth (per Share),3Y Net Income Growth (per Share),10Y Shareholders Equity Growth (per Share),5Y Shareholders Equity Growth (per Share),3Y Shareholders Equity Growth (per Share),10Y Dividend per Share Growth (per Share),5Y Dividend per Share Growth (per Share),3Y Dividend per Share Growth (per Share),Receivables growth,Inventory Growth,Asset Growth,Book Value per Share Growth,Debt Growth,R&D Expense Growth,SG&A Expenses Growth,Sector,2018 PRICE VAR [%],Class
PG,65058000000.0,-0.0037,32638000000.0,32420000000.0,0.0,18654000000.0,18654000000.0,13766000000.0,465000000.0,18389000000.0,3063000000.0,85000000.0,-5217000000.0,15326000000.0,0.0,15326000000.0,5.8,5.59,2557614388.0,2557614388.0,2.698,0.4983,0.33299999999999996,0.2898,0.23600000000000002,0.14400000000000002,21674000000.0,18854000000.0,15411000000.0,0.2827,0.2356,5569000000.0,9568000000.0,15137000000.0,4594000000.0,4624000000.0,26494000000.0,19893000000.0,68886000000.0,0.0,0.0,93912000000.0,120406000000.0,9632000000.0,13554000000.0,30210000000.0,18038000000.0,31592000000.0,0.0,8126000000.0,0.0,34418000000.0,64628000000.0,-14632000000.0,96124000000.0,55778000000.0,9568000000.0,16455000000.0,2139000000.0,7024000000.0,2820000000.0,351000000.0,12753000000.0,-3384000000.0,-491000000.0,-3381000000.0,-6685000000.0,1399000000.0,-2731000000.0,-7236000000.0,-8568000000.0,-29000000.0,-2529000000.0,9369000000.0,-0.0738,3.9961,0.0,3.4261,15.0259,23.7908,17.4779,16.380885414331,13.630786355798,3.2110644607729,0.03463768242643701,10.727712083093,3.7453015828635,0.2898029450644,0.9753367985573399,0.8334330306161299,0.49832457192044,1.0,0.21159580681853,0.23557441052598999,0.16656696938387,0.9474,0.2748,0.0971,0.8334330306161299,0.9753367985573399,0.2898029450644,1.6964,13.931,3.2703966219273,0.54032191086823,0.877,0.6531281032770601,0.18434293280371,-51.7115,25.7741,,54.0392,,0.2624,0.5664,0.24436436544923,0.36158864598833,40.5462,0.40367814636617,2.1586647065151,4.9863,4.553999999999999,2.1774,0.465,0.19602508530849,0.7346506704304899,0.40367814636617,0.94090305444887,3.7686170212766004,1.2008474576271,0.47213884901474995,25.436999999999998,5.9923,4.9863,4.553999999999999,2.1774,21.809,20.144000000000002,21.8086,12.3521,222896093914.2,239351093914.2,15.0259,3.4261,17.4779,23.7908,3.9961,0.0,3.679,11.0432,18.7682,25.5471,0.0666,0.042,0.5664,0.2624,0.7592,0.877,40.5462,0.8321,0.031,0.465,0.2867,0.0,0.5721,0.2653,0.052000000000000005,-1.2,0.0054,53.3486,0.0971,0.9474,-0.1711,-3716000000.0,51520000000.0,-38134000000.0,47333000000.0,4483500000.0,9478500000.0,4670000000.0,25.7741,54.0392,-51.7115,14.5105,1.6964,13.931,0.2748,-1.3231,0.0009,0.3067,0.0242,0.4585,0.5263,0.5149,-0.0392,-0.0366,0.015,-0.1738,-0.22699999999999998,0.0068,-0.032,-0.0256,0.0159,0.0056,-0.0112,0.062,0.0883,0.1167,0.0028,-0.0137,-0.0552,0.0774,0.0477,0.0329,0.0505,-0.0195,-0.0529,0.0012,0.0325,0.0,-0.0156,Consumer Defensive,4.975150851116607,1
VIPS,11020603536.8803,0.3525,8557810006.0459,2462793530.8343,273345223.7001,820185157.1947,2056136033.8573,406657496.977,12459945.5865,389328143.8936,94640266.0218,-8649032.6481,0.0,294687877.8718,0.0,294687877.8718,0.5015,0.4819,17838364.873,17768172.4607,0.0,0.2235,0.0077,0.0365,0.0041,-0.0203,562256045.9492,401788089.48,286038845.2237,0.0353,0.0267,1545041112.4547,37179715.8404,1582220828.2951,1282937424.4256,1052033101.5719,3917191354.2926,1006775241.838,581298367.5937,90727932.2854,43094316.8077,1823863663.8452,5741055018.1378,1729913694.075,252011789.60099998,2910774637.243,618939389.3591,870951178.9601,439199214.0266,2570586.4571,0.0,676323911.7291,3587098548.9722,-3664147.5212,846838119.7098,2160598397.8235,127907648.1258,,,928849153.5669999,160467956.4692,100831015.7195,148314842.8053,-372474758.16199994,-710550.1814,48734885.127,-307225816.2031,248732315.5985,847995314.3894,0.0,1083709794.4377,-915054.4135,923883766.6264,-224159915.3567,0.0956,,,0.0202,24.9252,0.0,,1.4975045757916001,0.75368609446288,0.02015335684797,-0.0,4.2437652289614,0.10279659375035999,0.036457902521892,0.96898876319971,0.75691388483935,0.22347174749483,1.0,0.036899748331943004,0.026739722274341002,0.24308611516064998,0.0384,0.1364,0.1687,0.75691388483935,0.96898876319971,0.036457902521892,,12.4909,10.946438766968999,1.9196129460635,0.2034,0.9843284382313101,0.53080066477359,-44.8704,42.4906,,57.2944,,0.1517,0.4031,0.22267709121035997,0.28729570699753,32.2464,0.17029065048443,2.6571597127542,11.0457,0.511,115.0662,0.0,0.013457960111618998,-1.511378841907,0.17029065048443,0.5885234299558799,0.3981876343437801,0.3981876343437801,-0.0,820.7544,21.9467,11.0457,0.511,115.0662,3.6759,8.7786,160.9096,64.8637,6253200000.0,,24.9252,0.0202,,0.0,,,,,,,0.0401,,0.4031,0.1517,,0.2034,32.2464,0.5033,0.0,0.0,0.0744,0.0248,0.1013,2.5114,0.0338,-2.3212,0.0091,,0.1687,0.0384,0.0534,6658453000.0,5159756650.5441,330092805.3204,1574892079.8065,975240850.4418,1468724953.589,882287897.0783,42.4906,57.2944,-44.8704,11.3004,,12.4909,0.1364,-27.7399,0.258,0.0244,0.043,0.0048,-0.0089,-0.0074,0.0642,0.0489,0.0,-0.6362,-27.2563,,,0.4806,,,-0.3235,,,0.3363,,,0.7928,,,0.0,0.9219,0.4764,0.5889,1.5821,0.3805,0.2141,0.192,Consumer Defensive,-56.31999969482422,0
KR,115337000000.0,0.0501,89502000000.0,25835000000.0,0.0,19162000000.0,22383000000.0,3452000000.0,522000000.0,2932000000.0,957000000.0,-18000000.0,0.0,1975000000.0,0.0,1975000000.0,2.08,2.05,938124655.0,942000000.0,0.45,0.22399999999999998,0.05,0.0299,0.017,0.005,5794000000.0,3454000000.0,1957000000.0,0.0254,0.0171,322000000.0,0.0,322000000.0,1649000000.0,6561000000.0,10340000000.0,21016000000.0,4184000000.0,0.0,0.0,26165000000.0,36505000000.0,5818000000.0,2252000000.0,12860000000.0,11825000000.0,14077000000.0,0.0,2178000000.0,0.0,16935000000.0,29795000000.0,-715000000.0,15543000000.0,6698000000.0,0.0,13755000000.0,1808000000.0,4790000000.0,2340000000.0,141000000.0,4272000000.0,-3699000000.0,-401000000.0,0.0,-3875000000.0,1861000000.0,-1698000000.0,-429000000.0,-352000000.0,0.0,45000000.0,573000000.0,-0.4364,4.6653,12.4296,0.2733,16.1538,55.2377,7.3785,7.0640959269663,15.279907746835,0.26164906144602,0.014215739615208,7.3049392129789,4.5054968348761,0.02994702480557,0.84887087434858,0.67360163710778,0.22399576892064002,1.0,0.029929684316395,0.017123733060510002,0.32639836289221996,0.1068,0.2949,0.0844,0.67360163710778,0.84887087434858,0.02994702480557,4.7828,18.1219,5.4880567186905,3.1594850020545,0.804,0.15326594090201998,0.025038880248834,-26.7566,5.2185,,18.4119,,0.3856,2.1017,0.63839550828699,0.6775932611311701,6.6169,0.30347375150954997,5.4501343684682,4.535,1.6230000000000002,0.3418,0.21600000000000003,0.037039284878226,0.13412921348315,0.30347375150954997,1.8969804618116999,1.1549067315491002,1.0348837209302,0.21721518987342,122.4384,2.0966,4.535,1.6230000000000002,0.3418,7.11,34.311,7.1104,14.9437,31520988408.0,45275988408.0,16.1538,0.2733,7.3785,55.2377,4.6653,12.4296,0.3926,7.8143,10.5983,79.0157,0.0619,0.0182,2.1017,0.3856,2.374,0.804,6.6169,2.1630000000000003,0.0134,0.21600000000000003,0.1661,0.0,0.1146,0.8659,0.0321,-1.5808,0.0012,18.359,0.0844,0.1068,-0.6172,-2520000000.0,32321000000.0,-19455000000.0,33216000000.0,1691500000.0,5773000000.0,6364500000.0,5.2185,18.4119,-26.7566,68.1862,4.7828,18.1219,0.2949,-3.9268,0.0617,-0.0314,-0.0347,-0.0314,-0.0048,-0.0049,-0.0248,-0.0224,-0.1,-0.1312,-0.6346,0.1023,0.0986,0.0856,0.1068,0.1502,0.0927,0.10400000000000001,0.3266,0.1237,0.0752,0.1608,0.1073,0.1647,0.1592,0.1359,-0.049,0.0637,0.0769,0.0071,0.1654,0.0,0.0678,Consumer Defensive,-0.9904489187425342,0
RAD,22927540000.0,0.1039,17862833000.0,5064707000.0,0.0,4776995000.0,4816124000.0,248583000.0,200065000.0,48491000.0,44438000.0,0.0,27000.0,4053000.0,0.0,4053000.0,0.08,0.08,52618361.0,52618361.0,0.0,0.2209,0.028999999999999998,0.0108,0.0,-0.001,655922000.0,248556000.0,4053000.0,0.0021,0.0002,245410000.0,0.0,245410000.0,1771126000.0,1789541000.0,5065288000.0,1526462000.0,2398253000.0,0.0,1505564000.0,6528464000.0,11593752000.0,1613909000.0,17709000.0,3005248000.0,3273092000.0,3290801000.0,0.0,0.0,0.0,7974434000.0,10979682000.0,-42317000.0,-5237157000.0,614070000.0,0.0,3045391000.0,1259211000.0,1373630000.0,407366000.0,22939000.0,232117000.0,-254149000.0,0.0,16852000.0,-464259000.0,313412000.0,6951000.0,0.0,353081000.0,0.0,120939000.0,-22032000.0,-0.5533,8.963,0.0,0.2401,1307.5,0.0,23.7117,23.711665068048,1357.9769456205,0.24005543379708,-0.0,13.755267486988,8.9629530193626,0.010840936271401,0.1950908447191,0.083582520467716,0.22090058506059,1.0,0.010842113894469,0.00017677430723052,0.9164174795322799,0.0011,0.0066,0.0186,0.083582520467716,0.1950908447191,0.010840936271401,-0.8719,10.2203,15.020052906656,1.9775772329785999,1.685,0.6710048555061,0.08166048193027702,-36.5666,28.1958,,25.693,,0.2838,5.359,0.84202613629172,0.84274256435104,1.2424,0.070535106802265,18.880179784064,4.4113,0.596,4.664,0.0,0.010123938285573,-0.09491764928893599,0.070535106802265,13.107290078491001,0.91331069569426,0.91331069569426,-0.0,435.7327,0.077,4.4113,0.596,4.664,11.67,174.75799999999998,11.6703,62.5409,5503880560.6,8549271560.6,1307.5,0.2401,23.7117,0.0,8.963,0.0,0.3729,13.034,36.8317,-388.0388,0.0008,-0.004,5.359,0.2838,4.6429,1.685,1.2424,57.2704,0.0,0.0,0.2084,0.0,0.2069,1.0949,0.0111,-0.6239,0.001,4.5832,0.0186,0.0011,-1.0746,2060040000.0,9195499000.0,-5914394000.0,9235642000.0,1686067000.0,1578353000.0,2243322500.0,28.1958,25.693,-36.5666,13.5982,-0.8719,10.2203,0.0066,-4.83,0.0146,-0.3803,-0.3299,-0.9755,-0.975,-0.975,0.0056,0.0192,0.0,-0.7713,-1.0353,-0.0397,-0.0561,-0.0621,-0.0922,-0.0576,-0.3279,-0.2267,0.0,-0.7538,-0.1544,0.0,0.0,0.0,0.0,0.0,0.1063,-0.3365,0.0281,0.0502,-0.5295,0.0,0.0427,Consumer Defensive,-66.6666659204426,0
GIS,15619800000.0,-0.057,10052000000.0,5567800000.0,0.0,2888800000.0,3069200000.0,2498600000.0,295100000.0,2312700000.0,655200000.0,43600000.0,0.0,1657500000.0,0.0,1657500000.0,2.82,2.77,576135402.0,576135402.0,1.92,0.3565,0.20600000000000002,0.16699999999999998,0.106,0.1111,3211400000.0,2607800000.0,1701100000.0,0.1481,0.1061,766100000.0,0.0,766100000.0,1430100000.0,1483600000.0,4061400000.0,3687700000.0,13277600000.0,0.0,0.0,17751200000.0,21812600000.0,2119800000.0,1838800000.0,5330800000.0,7642900000.0,9481700000.0,0.0,1719400000.0,0.0,10885400000.0,16216200000.0,-2244500000.0,13138900000.0,4327900000.0,0.0,8715600000.0,381600000.0,1372200000.0,603600000.0,95700000.0,2415200000.0,-680200000.0,20800000.0,13000000.0,-646900000.0,1034500000.0,-1538900000.0,-1135100000.0,-1747400000.0,-18500000.0,2400000.0,1735000000.0,-0.2674,7.5307,0.0,2.0866,20.0603,18.785,13.4945,12.342136128527,17.984149126768,1.9083936527752,0.038079452142871006,11.900643699825,6.887572997901599,0.16695476254497002,0.88683948155533,0.71669477234401,0.35645782916555,1.0,0.15996363589802998,0.10611531517689,0.28330522765599,0.6854,0.38299999999999995,0.0959,0.71669477234401,0.88683948155533,0.16695476254497002,1.8273,10.7823,4.2356482360279,0.7160906998707199,0.762,0.41198319201621003,0.14371201320626997,-53.8713,33.4183,,49.535,,0.4347,2.1908,0.6384619240151,0.6866020739195899,8.837,0.25472225444804003,5.039996303056901,4.1921,3.431,1.3297,0.6809999999999999,0.15462425895338,0.71836700894336,0.25472225444804003,1.3134653034588,3.5507203763599,1.330468793037,0.68482654600302,27.1113,2.8769,4.1921,3.431,1.3297,7.5120000000000005,14.814,7.5119,16.4574,32591979691.14,41307579691.14,20.0603,2.0866,13.4945,18.785,7.5307,0.0,2.6446,12.8628,17.1032,23.8084,0.0498,0.0532,2.1908,0.4347,2.714,0.762,8.837,1.4571,0.0339,0.6809999999999999,0.1849,0.0,0.6087,0.2816,0.0435,-1.1269,0.0061,21.831999999999997,0.0959,0.6854,-0.3729,-1269400000.0,8535000000.0,-12154800000.0,11919800000.0,1395450000.0,2083150000.0,1448650000.0,33.4183,49.535,-53.8713,11.1934,1.8273,10.7823,0.38299999999999995,-1.1806,-0.0449,-0.0539,-0.0237,-0.0235,-0.0035,0.0,-0.0307,-0.0229,0.0787,-0.1263,-0.1492,0.042,0.0105,-0.0238,0.0519,0.0242,0.0046,0.0571,0.0351,-0.0104,-0.0022,-0.0541,-0.1094,0.1031,0.0949,0.07400000000000001,0.0509,0.0494,0.0046,-0.0943,0.1246,0.0,-0.0738,Consumer Defensive,-31.28041182968117,0
PM,78098000000.0,0.042,59782000000.0,18316000000.0,0.0,6647000000.0,6735000000.0,11581000000.0,914000000.0,10342000000.0,4307000000.0,306000000.0,0.0,6035000000.0,0.0,6035000000.0,3.88,3.88,1553202587.0,1553202587.0,4.22,0.2345,0.155,0.1441,0.077,0.0943,12131000000.0,11256000000.0,6341000000.0,0.1324,0.0773,8447000000.0,0.0,8447000000.0,3738000000.0,8806000000.0,21594000000.0,7271000000.0,10098000000.0,1074000000.0,1007000000.0,21374000000.0,42968000000.0,2242000000.0,3005000000.0,15962000000.0,31334000000.0,34339000000.0,0.0,9767000000.0,0.0,37236000000.0,53198000000.0,-8535000000.0,29859000000.0,-12086000000.0,1074000000.0,25892000000.0,603000000.0,10715000000.0,875000000.0,0.0,8912000000.0,-1548000000.0,-111000000.0,-1527000000.0,-3083000000.0,4172000000.0,0.0,-6520000000.0,-2769000000.0,1085000000.0,4145000000.0,7364000000.0,-0.1597,0.0,0.0,2.0761,26.9046,22.0178,18.1933,17.019332373276,25.132773837720002,1.9421277127537,0.042986283454348996,15.782482079848002,,0.14412661015647,0.9187988628287099,0.58354283504158,0.2345258521345,1.0,0.14828804834951,0.077274706138441,0.41645716495841995,0.4677,-0.4993,0.3673,0.58354283504158,0.9187988628287099,0.14412661015647,11.0466,8.7637,10.741025993673,1.8175851796686,1.3530000000000002,0.7633755168525199,0.5291943365492999,-53.7652,17.47,,10.4782,,0.7992,-2.8412,1.6279093931836999,1.5431177818721002,12.3151,0.25952998048866,,5.7378,4.7410000000000005,5.4384,1.088,0.11411303746575,0.8263016157989201,0.25952998048866,2.9657237936772,5.7571059431525,1.1046108081309,1.0803645401823,50.2819,3.8855,5.7378,4.7410000000000005,5.4384,-7.781000000000001,21.163,-7.7813,22.1085,162138818056.93,188030818056.93,26.9046,2.0761,18.1933,22.0178,0.0,0.0,2.4076,15.5,21.0986,25.5338,0.0372,0.0454,-2.8412,0.7992,2.1344,1.3530000000000002,12.3151,1.4767,0.0404,1.088,0.0851,0.0,0.235,0.1737,0.0198,-1.7691,0.0,0.0,0.3673,0.4677,-0.1949,5632000000.0,32870000000.0,-31604000000.0,42800000000.0,3618500000.0,1954000000.0,8911500000.0,17.47,10.4782,-53.7652,21.583000000000002,11.0466,8.7637,-0.4993,-0.9967,0.0591,0.0593,0.0622,-0.1338,-0.1339,-0.1339,0.0012,0.0013,0.0243,0.1034,0.0665,0.0674,0.0165,-0.0083,0.0811,0.0035,0.0483,0.031,-0.0591,-0.0695,0.0,0.0,0.0,0.0,0.0543,0.0284,0.0683,-0.0234,0.166,0.0487,0.1814,0.0,0.0522,Consumer Defensive,-32.490965685952396,0
KO,35410000000.0,-0.1541,13255000000.0,22155000000.0,0.0,12654000000.0,14556000000.0,7599000000.0,841000000.0,6808000000.0,5560000000.0,35000000.0,-101000000.0,1248000000.0,0.0,1248000000.0,0.293,0.29,4260667316.0,4272000000.0,1.48,0.6257,0.252,0.21600000000000003,0.035,0.1513,8909000000.0,7649000000.0,1283000000.0,0.1923,0.0352,15358000000.0,5317000000.0,20675000000.0,3667000000.0,2655000000.0,36545000000.0,8203000000.0,16636000000.0,21952000000.0,330000000.0,51351000000.0,87896000000.0,8748000000.0,16503000000.0,27194000000.0,31182000000.0,47685000000.0,0.0,2932000000.0,0.0,41725000000.0,68919000000.0,-10305000000.0,60430000000.0,17072000000.0,27269000000.0,27010000000.0,9548000000.0,1943000000.0,1260000000.0,219000000.0,6930000000.0,-1571000000.0,12000000.0,-602000000.0,-2254000000.0,1089000000.0,-2087000000.0,-6320000000.0,-7409000000.0,241000000.0,-2477000000.0,5359000000.0,-0.1392,11.3717,445.2684,5.4795,155.4266,36.3028,27.9987,26.899791515152,149.37143846153998,5.2644889918102,0.033902750192812,26.148339342238003,10.919374133083,0.2160124258684,0.89005098705713,0.18331374853114002,0.6256707144874301,1.0,0.21460039536854003,0.035244281276476,0.8166862514688599,0.0711,0.0731,0.0869,0.18331374853114002,0.89005098705713,0.2160124258684,0.8238,13.2871,4.3167133975375,0.40286247383271,1.344,0.8951239243950899,0.56475693167611,-73.1101,37.7988,,90.1728,,0.5425,2.7932,0.6462054959174399,0.7363682690674399,9.0951,0.14532871972317998,5.1485473289597,1.6222,1.254,3.595,5.051,0.19570742728042997,0.77330447330447,0.14532871972317998,0.41992365024541,4.4112030553787,0.8782156887593501,5.064102564102599,8.2889,0.2921,1.6222,1.254,3.595,3.9960000000000004,16.680999999999997,3.9963,11.1622,194030789570.64,221040789570.64,155.4266,5.4795,27.9987,36.3028,11.3717,445.2684,6.2423,24.811,31.8962,41.2466,0.0064,0.0276,2.7932,0.5425,3.0318,1.344,9.0951,5.5529,0.0325,5.051,0.3574,0.0,0.1893,0.2267,0.0444,-1.2468,0.0062,5.1384,0.0869,0.0711,-0.1668,9351000000.0,71260000000.0,-32374000000.0,76393000000.0,3761500000.0,9119000000.0,2665000000.0,37.7988,90.1728,-73.1101,9.4138,0.8238,13.2871,0.0731,-0.3677,-0.1277,-0.1353,-0.1222,-0.8088,-0.8059999999999999,-0.8054,-0.0104,-0.0098,0.0571,-0.2118,-0.1978,0.0288,-0.0491,-0.0754,0.0048,-0.0725,-0.1248,-0.1382,-0.3196,-0.4348,-0.0161,-0.113,-0.1669,0.0809,0.0773,0.0665,-0.049,-0.0075,0.0072,-0.252,0.0432,0.0,-0.1767,Consumer Defensive,7.570640532756395,1
WMT,485873000000.0,0.0078,361256000000.0,124617000000.0,0.0,101853000000.0,101853000000.0,22764000000.0,2367000000.0,19847000000.0,6204000000.0,650000000.0,0.0,13643000000.0,0.0,13643000000.0,4.4,4.38,3073190306.0,3101000000.0,2.0,0.2565,0.066,0.0457,0.027999999999999997,0.0443,32294000000.0,22214000000.0,14293000000.0,0.0408,0.0281,6867000000.0,0.0,6867000000.0,5835000000.0,43046000000.0,57689000000.0,114178000000.0,17037000000.0,0.0,0.0,141136000000.0,198825000000.0,41433000000.0,3920000000.0,66928000000.0,42018000000.0,45938000000.0,0.0,10265000000.0,0.0,51362000000.0,118290000000.0,-14232000000.0,89354000000.0,77798000000.0,0.0,39071000000.0,1941000000.0,21575000000.0,10080000000.0,0.0,31673000000.0,-10163000000.0,-1801000000.0,-1901000000.0,-13896000000.0,-3591000000.0,-8298000000.0,-6216000000.0,-19072000000.0,-452000000.0,-1747000000.0,21510000000.0,-0.1905,2.6268,3.3633,0.4221,15.1682,9.6216,6.4757,6.123850844567901,14.216867829656,0.39920046555376,0.032047724663157,7.519840459528099,2.4931325715313997,0.045719766276372996,0.8934455748626999,0.6874086763742601,0.25648060295592,1.0,0.04685174932544099,0.028079354069891004,0.31259132362574,0.13,0.1754,0.1127,0.6874086763742601,0.8934455748626999,0.045719766276372996,3.2767,11.1038,4.2553994639948,2.4437218659625,0.862,0.18978603872819,0.10260279703561999,-43.4921,4.3834,,31.1255,,0.231,0.5905,0.35068772117246,0.3712581625396,9.3849,0.68947276764335,2.5556569577624,10.2138,5.21,2.2144,0.455,0.06518781656935,0.67912733242825,0.68947276764335,8.0798469387755,3.1165010331594996,1.9337566395995,0.45561826577732006,156.6827,4.3995,10.2138,5.21,2.2144,25.088,58.622,25.088,14.8139,205104721022.44,244175721022.44,15.1682,0.4221,6.4757,9.6216,2.6268,3.3633,0.5026,7.561,7.7093,11.3517,0.0659,0.1049,0.5905,0.231,1.2099,0.862,9.3849,2.3216,0.03,0.455,0.2096,0.0,0.0857,0.3209,0.0209,-1.0082,0.0,50.1537,0.1127,0.13,-0.2955,-9239000000.0,181788000000.0,-60601000000.0,153931000000.0,5729500000.0,39960000000.0,43757500000.0,4.3834,31.1255,-43.4921,84.802,3.2767,11.1038,0.1754,-3.2773,0.0287,-0.0666,-0.0556,-0.0715,-0.0393,-0.0416,-0.0331,-0.0326,0.0204,0.1496,0.2873,0.0648,0.0396,0.0245,0.0771,0.0782,0.1281,0.0497,-0.0061,-0.0354,0.0543,0.0401,0.0246,0.1156,0.065,0.0208,0.0375,-0.032,-0.0038,-0.0011,-0.0819,0.0,0.0496,Consumer Defensive,-3.2752502280311164,0
